doi;coo_authors;year
10.4230/LIPICS.SNAPL.2015.238;Tiark Rompf, Kevin J. Brown, HyoukJoong Lee, Arvind K. Sujeeth, Manohar Jonnalagedda, Nada Amin, Georg Ofenbeck, Alen Stojanov, Yannis Klonatos, Mohammad Dashti 0001, Christoph Koch 0001, Markus Püschel, Kunle Olukotun;2015
;Tiark Rompf, Nada Amin;2015
10.1145/2660193.2660216;Nada Amin, Tiark Rompf, Martin Odersky;2014
10.1007/978-3-319-09099-3_2;Nada Amin, K. Rustan M. Leino, Tiark Rompf;2014
10.1145/2489804.2489808;Lukas Rytz, Nada Amin, Martin Odersky;2013
10.1145/2489837.2489848;Sandro Stucki, Nada Amin, Manohar Jonnalagedda, Tiark Rompf;2013
10.1145/2429069.2429128;Tiark Rompf, Arvind K. Sujeeth, Nada Amin, Kevin J. Brown, Vojin Jovanovic, HyoukJoong Lee, Manohar Jonnalagedda, Kunle Olukotun, Martin Odersky;2013
10.1007/S10990-013-9096-9;Tiark Rompf, Nada Amin, Adriaan Moors, Philipp Haller, Martin Odersky;2012
10.1007/978-3-642-31057-7_19;Grzegorz Kossakowski, Nada Amin, Tiark Rompf, Martin Odersky;2012
10.1109/ICCD.2009.5413185;Nada Amin, William Thies, Saman P. Amarasinghe;2009
10.48550/ARXIV.2302.11162;Jonathan Huml, Abiy Tasissa, Demba E. Ba;2023
10.48550/ARXIV.2302.12266;Demba E. Ba, Akshunna S. Dogra, Rikab Gambhir, Abiy Tasissa, Jesse Thaler;2023
10.1109/LSP.2021.3127471;Andrew H. Song, Bahareh Tolooshams, Demba E. Ba;2022
10.1109/TSP.2022.3186185;Alexander Lin, Andrew H. Song, Berkin Bilgic, Demba E. Ba;2022
10.1109/ICASSP43922.2022.9747848;Alexander Lin, Andrew H. Song, Demba E. Ba;2022
10.1109/ICASSP43922.2022.9746177;Alexander Lin, Andrew H. Song, Berkin Bilgic, Demba E. Ba;2022
;Alexander Lin, Andrew H. Song, Berkin Bilgic, Demba E. Ba;2022
10.48550/ARXIV.2209.14165;Bahareh Tolooshams, Satish Mulleti, Demba E. Ba, Yonina C. Eldar;2022
10.48550/ARXIV.2211.09238;Emmanouil Theodosis, Demba E. Ba;2022
10.1109/TNNLS.2020.3005348;Bahareh Tolooshams, Sourav Dey, Demba E. Ba;2021
10.1109/ICASSP39728.2021.9414443;Bahareh Tolooshams, Satish Mulleti, Demba E. Ba, Yonina C. Eldar;2021
10.1109/SSP49050.2021.9513828;Abiy Tasissa, Pranay Tankala, Demba E. Ba;2021
;Andrew H. Song, Demba E. Ba, Emery N. Brown;2021
;Emmanouil Theodosis, Bahareh Tolooshams, Pranay Tankala, Abiy Tasissa, Demba E. Ba;2021
;Andrew H. Song, Bahareh Tolooshams, Demba E. Ba;2021
10.48550/ARXIV.2303.03384;Sitan Chen, Giannis Daras, Alexandros G. Dimakis;2023
;Sitan Chen, Jerry Li 0001, Ryan O Donnell;2022
10.1109/FOCS54457.2022.00118;Sitan Chen, Jerry Li 0001, Brice Huang, Allen Liu;2022
;Sitan Chen, Jerry Li 0001, Yuanzhi Li, Raghu Meka;2022
10.4230/LIPICS.ITCS.2022.46;Sitan Chen, Zhao Song 0002, Runzhou Tao, Ruizhe Zhang 0001;2022
10.1145/3519935.3520050;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau;2022
;Sitan Chen, Jerry Li 0001, Yuanzhi Li, Raghu Meka;2022
;Sitan Chen, Aravind Gollakota, Adam R. Klivans, Raghu Meka;2022
10.48550/ARXIV.2204.04209;Sitan Chen, Jerry Li 0001, Yuanzhi Li, Anru R. Zhang;2022
10.48550/ARXIV.2204.07155;Sitan Chen, Brice Huang, Jerry Li 0001, Allen Liu;2022
10.48550/ARXIV.2205.16003;Sitan Chen, Jerry Li 0001, Yuanzhi Li;2022
10.48550/ARXIV.2206.05265;Sitan Chen, Brice Huang, Jerry Li 0001, Allen Liu, Mark Sellke;2022
10.48550/ARXIV.2209.11215;Sitan Chen, Sinho Chewi, Jerry Li 0001, Yuanzhi Li, Adil Salim, Anru R. Zhang;2022
10.48550/ARXIV.2210.07234;Sitan Chen, Jordan Cotler, Hsin-Yuan Huang, Jerry Li 0001;2022
10.48550/ARXIV.2210.14894;Hsin-Yuan Huang, Sitan Chen, John Preskill;2022
;Sitan Chen;2021
10.1109/FOCS52979.2021.00063;Sitan Chen, Jordan Cotler, Hsin-Yuan Huang, Jerry Li 0001;2021
10.1109/FOCS52979.2021.00073;Sitan Chen, Adam R. Klivans, Raghu Meka;2021
