doi;coo_authors
10.48550/ARXIV.2208.01705;Mark Penrod, Harrison Termotto, Varshini Reddy, Jiayu Yao, Finale Doshi-Velez, Weiwei Pan
10.48550/ARXIV.2208.07406;Anna L. Trella, Kelly W. Zhang, Inbal Nahum-Shani, Vivek Shetty, Finale Doshi-Velez, Susan A. Murphy
10.48550/ARXIV.2209.08682;Harvineet Singh, Shalmali Joshi, Finale Doshi-Velez, Himabindu Lakkaraju
10.48550/ARXIV.2210.15767;Michael L. Littman, Ifeoma Ajunwa, Guy Berger, Craig Boutilier, Morgan Currie, Finale Doshi-Velez, Gillian K. Hadfield, Michael C. Horowitz, Charles Isbell, Hiroaki Kitano, Karen Levy, Terah Lyons, Melanie Mitchell, Julie Shah, Steven Sloman, Shannon Vallor, Toby Walsh
10.48550/ARXIV.2211.05667;Zixi Chen, Varshini Subhash, Marton Havasi, Weiwei Pan, Finale Doshi-Velez
10.48550/ARXIV.2211.07719;Sanjana Narayanan, Isaac Lage, Finale Doshi-Velez
10.48550/ARXIV.2211.09184;Jiayu Yao, Yaniv Yacoby, Beau Coker, Weiwei Pan, Finale Doshi-Velez
10.48550/ARXIV.2212.00863;Eura Shin, Siddharth Swaroop, Weiwei Pan, Susan A. Murphy, Finale Doshi-Velez
;Been Kim, Finale Doshi-Velez
10.1162/COLI_A_00399;Lifeng Jin, Lane Schwartz, Finale Doshi-Velez, Timothy A. Miller, William Schuler
10.1613/JAIR.1.12558;Mike Wu, Sonali Parbhoo, Michael C. Hughes, Volker Roth 0001, Finale Doshi-Velez
;Nari Johnson, Sonali Parbhoo, Andrew Slavin Ross, Finale Doshi-Velez
10.1145/3411764.3445385;Maia Jacobs, Jeffrey He, Melanie F. Pradier, Barbara Lam, Andrew C. Ahn, Thomas H. McCoy, Roy H. Perlis, Finale Doshi-Velez, Krzysztof Z. Gajos
10.1145/3411764.3445296;Andrew Slavin Ross, Nina Chen, Elisa Zhao Hang, Elena L. Glassman, Finale Doshi-Velez
;Andrew Slavin Ross, Finale Doshi-Velez
;Simon P. Shen, Yecheng Jason Ma, Omer Gottesman, Finale Doshi-Velez
;Jiayu Yao, Emma Brunskill, Weiwei Pan, Susan A. Murphy, Finale Doshi-Velez
;Kai Wang 0040, Sanket Shah, Haipeng Chen 0001, Andrew Perrault, Finale Doshi-Velez, Milind Tambe
10.1109/VAHC53616.2021.00007;Tianyi Zhang 0001, Thomas H. McCoy, Roy H. Perlis, Finale Doshi-Velez, Elena L. Glassman
;Kristine Zhang, Yuanheng Wang, Jianzhun Du, Brian Chu, Leo Anthony Celi, Ryan Kindle, Finale Doshi-Velez
;Melanie F. Pradier, Javier Zazo, Sonali Parbhoo, Roy H. Perlis, Maurizio Zazzi, Finale Doshi-Velez
;Maia Jacobs, Jeffrey He, Melanie F. Pradier, Barbara Lam, Andrew C. Ahn, Thomas H. McCoy, Roy H. Perlis, Finale Doshi-Velez, Krzysztof Z. Gajos
;Andrew Slavin Ross, Nina Chen, Elisa Zhao Hang, Elena L. Glassman, Finale Doshi-Velez
;Andrew Slavin Ross, Finale Doshi-Velez
;Harvineet Singh, Shalmali Joshi, Finale Doshi-Velez, Himabindu Lakkaraju
;Kai Wang 0040, Sanket Shah, Haipeng Chen 0001, Andrew Perrault, Finale Doshi-Velez, Milind Tambe
;Beau Coker, Weiwei Pan, Finale Doshi-Velez
;Anita Mahinpei, Justin Clark, Isaac Lage, Finale Doshi-Velez, Weiwei Pan
;Eura Shin, Pedja Klasnja, Susan A. Murphy, Finale Doshi-Velez
;Simon P. Shen, Yecheng Jason Ma, Omer Gottesman, Finale Doshi-Velez
;Shalmali Joshi, Sonali Parbhoo, Finale Doshi-Velez
;Sarah Rathnam, Susan A. Murphy, Finale Doshi-Velez
;Nari Johnson, Sonali Parbhoo, Andrew Slavin Ross, Finale Doshi-Velez
;Abhishek Sharma, Catherine Zeng, Sanjana Narayanan, Sonali Parbhoo, Finale Doshi-Velez
;Ramtin Keramati, Omer Gottesman, Leo Anthony Celi, Finale Doshi-Velez, Emma Brunskill
;Andrew Slavin Ross, Weiwei Pan, Leo A. Celi, Finale Doshi-Velez
;Mike Wu, Sonali Parbhoo, Michael C. Hughes, Ryan Kindle, Leo A. Celi, Maurizio Zazzi, Volker Roth 0001, Finale Doshi-Velez
;Joseph Futoma, Michael C. Hughes, Finale Doshi-Velez
;Jason Ren, Russell Kunes, Finale Doshi-Velez
;Mingyu Lu, Zachary Shahn, Daby Sow, Finale Doshi-Velez, Li-Wei H. Lehman
10.1145/3368555.3384450;Niranjani Prasad, Barbara E. Engelhardt, Finale Doshi-Velez
;Omer Gottesman, Joseph Futoma, Yao Liu 0009, Sonali Parbhoo, Leo A. Celi, Emma Brunskill, Finale Doshi-Velez
