doi;coo_authors
10.48550/ARXIV.2302.12266;Demba E. Ba, Akshunna S. Dogra, Rikab Gambhir, Abiy Tasissa, Jesse Thaler
10.1109/LSP.2021.3127471;Andrew H. Song, Bahareh Tolooshams, Demba E. Ba
10.1109/TSP.2022.3186185;Alexander Lin, Andrew H. Song, Berkin Bilgic, Demba E. Ba
10.1109/ICASSP43922.2022.9747848;Alexander Lin, Andrew H. Song, Demba E. Ba
10.1109/ICASSP43922.2022.9746177;Alexander Lin, Andrew H. Song, Berkin Bilgic, Demba E. Ba
;Alexander Lin, Andrew H. Song, Berkin Bilgic, Demba E. Ba
10.48550/ARXIV.2209.14165;Bahareh Tolooshams, Satish Mulleti, Demba E. Ba, Yonina C. Eldar
10.48550/ARXIV.2211.09238;Emmanouil Theodosis, Demba E. Ba
10.1109/TNNLS.2020.3005348;Bahareh Tolooshams, Sourav Dey, Demba E. Ba
10.1109/ICASSP39728.2021.9414443;Bahareh Tolooshams, Satish Mulleti, Demba E. Ba, Yonina C. Eldar
10.1109/SSP49050.2021.9513828;Abiy Tasissa, Pranay Tankala, Demba E. Ba
;Andrew H. Song, Demba E. Ba, Emery N. Brown
;Emmanouil Theodosis, Bahareh Tolooshams, Pranay Tankala, Abiy Tasissa, Demba E. Ba
;Andrew H. Song, Bahareh Tolooshams, Demba E. Ba
10.48550/ARXIV.2303.03384;Sitan Chen, Giannis Daras, Alexandros G. Dimakis
;Sitan Chen, Jerry Li 0001, Ryan O Donnell
10.1109/FOCS54457.2022.00118;Sitan Chen, Jerry Li 0001, Brice Huang, Allen Liu
;Sitan Chen, Jerry Li 0001, Yuanzhi Li, Raghu Meka
10.4230/LIPICS.ITCS.2022.46;Sitan Chen, Zhao Song 0002, Runzhou Tao, Ruizhe Zhang 0001
10.1145/3519935.3520050;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau
;Sitan Chen, Jerry Li 0001, Yuanzhi Li, Raghu Meka
;Sitan Chen, Aravind Gollakota, Adam R. Klivans, Raghu Meka
10.48550/ARXIV.2204.04209;Sitan Chen, Jerry Li 0001, Yuanzhi Li, Anru R. Zhang
10.48550/ARXIV.2204.07155;Sitan Chen, Brice Huang, Jerry Li 0001, Allen Liu
10.48550/ARXIV.2205.16003;Sitan Chen, Jerry Li 0001, Yuanzhi Li
10.48550/ARXIV.2206.05265;Sitan Chen, Brice Huang, Jerry Li 0001, Allen Liu, Mark Sellke
10.48550/ARXIV.2209.11215;Sitan Chen, Sinho Chewi, Jerry Li 0001, Yuanzhi Li, Adil Salim, Anru R. Zhang
10.48550/ARXIV.2210.07234;Sitan Chen, Jordan Cotler, Hsin-Yuan Huang, Jerry Li 0001
10.48550/ARXIV.2210.14894;Hsin-Yuan Huang, Sitan Chen, John Preskill
;Sitan Chen
10.1109/FOCS52979.2021.00063;Sitan Chen, Jordan Cotler, Hsin-Yuan Huang, Jerry Li 0001
10.1109/FOCS52979.2021.00073;Sitan Chen, Adam R. Klivans, Raghu Meka
10.1109/FOCS52979.2021.00072;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau
;Sitan Chen, Xiaoxiao Li, Zhao Song 0002, Danyang Zhuo
;Sitan Chen, Adam R. Klivans, Raghu Meka
10.1145/3406325.3451078;Sitan Chen, Ankur Moitra
;Sitan Chen, Zhao Song 0002, Runzhou Tao, Ruizhe Zhang 0001
;Sitan Chen, Jerry Li 0001, Ryan O Donnell
;Sitan Chen, Adam R. Klivans, Raghu Meka
;Sitan Chen, Jordan Cotler, Hsin-Yuan Huang, Jerry Li 0001
;Sitan Chen, Jordan Cotler, Hsin-Yuan Huang, Jerry Li 0001
;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau
;Hsin-Yuan Huang, Michael Broughton, Jordan Cotler, Sitan Chen, Jerry Li 0001, Masoud Mohseni, Hartmut Neven, Ryan Babbush, Richard Kueng, John Preskill, Jarrod R. McClean
;Sitan Chen, Raghu Meka
10.1109/FOCS46700.2020.00070;Sébastien Bubeck, Sitan Chen, Jerry Li 0001
;Sitan Chen, Jerry Li 0001, Ankur Moitra
;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau
10.1145/3357713.3384337;Sitan Chen, Jerry Li 0001, Ankur Moitra
10.1145/3357713.3384333;Sitan Chen, Jerry Li 0001, Zhao Song 0002
;Sitan Chen, Jerry Li 0001, Ankur Moitra
;Sitan Chen, Ankur Moitra
;Sébastien Bubeck, Sitan Chen, Jerry Li 0001
;Sitan Chen, Raghu Meka
;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau
;Sitan Chen, Adam R. Klivans, Raghu Meka
;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau
;Sitan Chen, Zhao Song 0002, Danyang Zhuo
10.1137/1.9781611975482.134;Sitan Chen, Michelle Delcourt, Ankur Moitra, Guillem Perarnau, Luke Postle
10.1145/3313276.3316375;Sitan Chen, Ankur Moitra
;Sitan Chen, Jerry Li 0001, Ankur Moitra
;Sitan Chen, Jerry Li 0001, Zhao Song 0002
;Sitan Chen, Ankur Moitra
;Sitan Chen, Ankur Moitra
;Sitan Chen, Michelle Delcourt, Ankur Moitra, Guillem Perarnau, Luke Postle
10.1145/2897518.2897546;Sitan Chen
;Sitan Chen
;Sitan Chen, Thomas Steinke 0002, Salil P. Vadhan
;Sitan Chen
10.1109/ICSSI.2013.55;Mei-Ting Jou, Yu-Pei Chen, Thai Dao, Ting-Jun Chen, Yi-Ling Chen
10.1007/11731139_80;Wei-Ta Chen, Yi-Ling Chen, Ming-Syan Chen
10.48550/ARXIV.2205.01818;Ziyi Yang, Yuwei Fang, Chenguang Zhu 0001, Reid Pryzant, Dongdong Chen 0001, Yu Shi 0001, Yichong Xu, Yao Qian, Mei Gao, Yi-Ling Chen, Liyang Lu, Yujia Xie, Robert Gmyr, Noel Codella, Naoyuki Kanda, Bin Xiao 0004, Lu Yuan, Takuya Yoshioka, Michael Zeng 0001, Xuedong Huang 0001
10.1007/978-3-030-75765-6_57;Szu-Yuan Cheng, Yi-Ling Chen, Mi-Yen Yeh, Bo-Tao Lin
10.1145/2964284.2967184;Hui-Hung Wang, Yi-Ling Chen, Chen-Kuo Chiang
10.1109/ICDM.2015.91;Yi-Ling Chen, Ming-Syan Chen, Philip S. Yu
10.14778/1978665.1978671;De-Nian Yang, Yi-Ling Chen, Wang-Chien Lee, Ming-Syan Chen
;De-Nian Yang, Yi-Ling Chen, Wang-Chien Lee, Ming-Syan Chen
;Ching-Lu Hsieh, Ren-Sheng Cheng, Yi-Ling Chen
;Lu Yuan, Dongdong Chen 0001, Yi-Ling Chen, Noel Codella, Xiyang Dai, Jianfeng Gao, Houdong Hu, Xuedong Huang 0001, Boxin Li, Chunyuan Li, Ce Liu 0001, Mengchen Liu, Zicheng Liu 0001, Yumao Lu, Yu Shi 0001, Lijuan Wang, Jianfeng Wang, Bin Xiao 0004, Zhen Xiao, Jianwei Yang, Michael Zeng 0001, Luowei Zhou, Pengchuan Zhang
10.48550/ARXIV.2302.03719;Yiling Chen, Tao Lin
10.48550/ARXIV.2302.08012;Yiling Chen, Safwan Hossain
10.1109/ACCESS.2022.3151098;Axel Rodriguez, Yi-Ling Chen, Carlos Argueta
10.1109/SMC53654.2022.9945522;Yiling Chen, Linjiang Zheng, Weining Liu
10.48550/ARXIV.2207.13126;Yiling Chen, Tao Lin
10.48550/ARXIV.2209.13578;Gali Noti, Yiling Chen
10.48550/ARXIV.2210.07414;Hamed Nilforoshan, Wenli Looi, Emma Pierson, Blanca Villanueva, Nic Fishman, Yiling Chen, John Sholar, Beth Redbird, David Grusky, Jure Leskovec
10.48550/ARXIV.2212.12744;Si-Nian Jin, Dian-Wu Yue, Yi-Ling Chen, Qing Hu 0001
10.1155/2021/5512957;Dianyuan Qi, Fangzhu Zou, Jing Zhao, Shaobin Sun, Huanbin Wei, Yiling Chen, Zhan Xia
10.1007/978-3-030-73216-5_22;Chih-Hsien Fang, Yi-Ling Chen, Mi-Yen Yeh, Yan-Shuo Lin
10.1109/GLOBECOM46510.2021.9685648;Yu-Hsin Chung, Yi-Ling Chen
10.1007/978-3-030-82147-0_52;Yuhui Ye, Linjiang Zheng, Yiling Chen, Longquan Liao
;Xiang Yan, Yiling Chen
;Sujata Banerjee, Yiling Chen, Kobbi Nissim, David Parkes, Katie Siek, Lauren Wilcox
